,ANO,cod_produto,PRODUÇÃO_NOVO,UND_NOVO,Technology,categoria,food_color
59,2021,1013.2065,734998.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
60,2022,1013.2065,877114.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
61,2023,1013.2065,1005853.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
62,2017,1020.2012,1655.224,Ton,Fish meal processing,Carne e Ração Animal,salmon
63,2018,1020.2012,2298.297,Ton,Fish meal processing,Carne e Ração Animal,salmon
64,2019,1020.2012,833.628,Ton,Fish meal processing,Carne e Ração Animal,salmon
65,2020,1020.2012,280.637,Ton,Fish meal processing,Carne e Ração Animal,salmon
66,2021,1020.2012,295.17,Ton,Fish meal processing,Carne e Ração Animal,salmon
67,2022,1020.2012,321.437,Ton,Fish meal processing,Carne e Ração Animal,salmon
68,2023,1020.2012,236.75,Ton,Fish meal processing,Carne e Ração Animal,salmon
69,2017,1020.2030,18849.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
70,2018,1020.2030,47079.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
71,2019,1020.2030,49958.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
72,2020,1020.2030,36059.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
73,2021,1020.2030,37536.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
74,2022,1020.2030,43139.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
75,2023,1020.2030,74965.0,Ton,Fish meal processing,Carne e Ração Animal,salmon
76,2018,1020.2035,521.705,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
77,2019,1020.2035,685.992,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
78,2020,1020.2035,902.27,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
79,2021,1020.2035,753.578,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
80,2022,1020.2035,718.92,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
81,2023,1020.2035,877.744,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
82,2017,1020.2070,16561.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
83,2018,1020.2070,5355.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
84,2019,1020.2070,4020.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
85,2020,1020.2070,3598.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
86,2021,1020.2070,4787.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
87,2022,1020.2070,6838.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
88,2023,1020.2070,5095.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
89,2018,1020.2090,1887.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
90,2019,1020.2090,148.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
91,2020,1020.2090,107.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
92,2022,1020.2090,22.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
93,2023,1020.2090,3330.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
94,2017,1020.2100,248491.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
95,2018,1020.2100,115673.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
