,ANO,cod_produto,PRODUÇÃO_NOVO,UND_NOVO,Technology,categoria,food_color
318,2021,1099.2110,333581.0,Ton,Animal rendering,Carne e Ração Animal,salmon
319,2022,1099.2110,846346.0,Ton,Animal rendering,Carne e Ração Animal,salmon
320,2023,1099.2110,357530.0,Ton,Animal rendering,Carne e Ração Animal,salmon
321,2017,1111.2010,9720210.0,hL,Other spirits,Destilados,lightblue
322,2018,1111.2010,9521900.0,hL,Other spirits,Destilados,lightblue
323,2019,1111.2010,8751040.0,hL,Other spirits,Destilados,lightblue
324,2020,1111.2010,8809740.0,hL,Other spirits,Destilados,lightblue
325,2021,1111.2010,8116390.0,hL,Other spirits,Destilados,lightblue
326,2022,1111.2010,9528160.0,hL,Other spirits,Destilados,lightblue
327,2023,1111.2010,9098960.0,hL,Other spirits,Destilados,lightblue
328,2017,1111.2020,241540.0,hL,Brandy,Destilados,lightblue
329,2018,1111.2020,222570.0,hL,Brandy,Destilados,lightblue
330,2019,1111.2020,166770.0,hL,Brandy,Destilados,lightblue
331,2020,1111.2020,126100.0,hL,Brandy,Destilados,lightblue
332,2021,1111.2020,184180.0,hL,Brandy,Destilados,lightblue
333,2022,1111.2020,209380.0,hL,Brandy,Destilados,lightblue
334,2023,1111.2020,146390.0,hL,Brandy,Destilados,lightblue
335,2017,1111.2040,1600320.0,hL,Other spirits,Destilados,lightblue
336,2018,1111.2040,1303290.0,hL,Other spirits,Destilados,lightblue
337,2019,1111.2040,1737450.0,hL,Other spirits,Destilados,lightblue
338,2020,1111.2040,1936170.0,hL,Other spirits,Destilados,lightblue
339,2021,1111.2040,2148340.0,hL,Other spirits,Destilados,lightblue
340,2022,1111.2040,2195900.0,hL,Other spirits,Destilados,lightblue
341,2023,1111.2040,1843070.0,hL,Other spirits,Destilados,lightblue
342,2018,1111.2060,29860.0,hL,Other spirits,Destilados,lightblue
343,2019,1111.2060,63800.0,hL,Other spirits,Destilados,lightblue
344,2020,1111.2060,59170.0,hL,Other spirits,Destilados,lightblue
345,2021,1111.2060,99590.0,hL,Other spirits,Destilados,lightblue
346,2022,1111.2060,89820.0,hL,Other spirits,Destilados,lightblue
347,2023,1111.2060,65800.0,hL,Other spirits,Destilados,lightblue
348,2017,1111.2070,136510.0,hL,Grain whisky,Destilados,lightblue
349,2018,1111.2070,102670.0,hL,Grain whisky,Destilados,lightblue
350,2019,1111.2070,74030.0,hL,Grain whisky,Destilados,lightblue
351,2020,1111.2070,72570.0,hL,Grain whisky,Destilados,lightblue
352,2021,1111.2070,86290.0,hL,Grain whisky,Destilados,lightblue
353,2022,1111.2070,122550.0,hL,Grain whisky,Destilados,lightblue
354,2023,1111.2070,140600.0,hL,Grain whisky,Destilados,lightblue
355,2017,1111.2080,1237820.0,hL,Other spirits,Destilados,lightblue
356,2018,1111.2080,949680.0,hL,Other spirits,Destilados,lightblue
357,2019,1111.2080,841060.0,hL,Other spirits,Destilados,lightblue
358,2020,1111.2080,807180.0,hL,Other spirits,Destilados,lightblue
359,2021,1111.2080,639430.0,hL,Other spirits,Destilados,lightblue
360,2022,1111.2080,2433470.0,hL,Other spirits,Destilados,lightblue
361,2023,1111.2080,2813380.0,hL,Other spirits,Destilados,lightblue
362,2017,1112.2030,38980.0,hL,"Wine
unspecified colour",Vinho,purple
363,2019,1112.2030,34290.0,hL,"Wine
unspecified colour",Vinho,purple
364,2021,1112.2030,16090.0,hL,"Wine
unspecified colour",Vinho,purple
365,2022,1112.2030,27870.0,hL,"Wine
unspecified colour",Vinho,purple
366,2023,1112.2030,24460.0,hL,"Wine
unspecified colour",Vinho,purple
367,2017,1112.2040,40110.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
368,2018,1112.2040,68850.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
369,2019,1112.2040,142180.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
370,2020,1112.2040,59410.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
371,2023,1112.2040,126180.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
372,2017,1112.2050,98370.0,hL,"Wine
unspecified colour",Vinho,purple
373,2018,1112.2050,73270.0,hL,"Wine
unspecified colour",Vinho,purple
374,2019,1112.2050,134060.0,hL,"Wine
unspecified colour",Vinho,purple
375,2020,1112.2050,118340.0,hL,"Wine
unspecified colour",Vinho,purple
376,2021,1112.2050,66080.0,hL,"Wine
unspecified colour",Vinho,purple
377,2022,1112.2050,68770.0,hL,"Wine
unspecified colour",Vinho,purple
378,2023,1112.2050,68980.0,hL,"Wine
unspecified colour",Vinho,purple
379,2022,1112.2060,1680.0,hL,"Wine
unspecified colour",Vinho,purple
380,2023,1112.2060,4390.0,hL,"Wine
unspecified colour",Vinho,purple
381,2017,1112.2070,3712370.0,hL,"Wine
unspecified colour",Vinho,purple
382,2018,1112.2070,3908060.0,hL,"Wine
unspecified colour",Vinho,purple
383,2019,1112.2070,3787720.0,hL,"Wine
unspecified colour",Vinho,purple
384,2020,1112.2070,2497360.0,hL,"Wine
unspecified colour",Vinho,purple
385,2021,1112.2070,2753770.0,hL,"Wine
unspecified colour",Vinho,purple
386,2022,1112.2070,2304420.0,hL,"Wine
unspecified colour",Vinho,purple
387,2023,1112.2070,2212480.0,hL,"Wine
unspecified colour",Vinho,purple
388,2017,1112.2080,197390.0,hL,"Wine
unspecified colour",Vinho,purple
389,2018,1112.2080,201150.0,hL,"Wine
unspecified colour",Vinho,purple
390,2019,1112.2080,256480.0,hL,"Wine
unspecified colour",Vinho,purple
391,2020,1112.2080,222750.0,hL,"Wine
unspecified colour",Vinho,purple
392,2021,1112.2080,286070.0,hL,"Wine
unspecified colour",Vinho,purple
393,2022,1112.2080,335010.0,hL,"Wine
unspecified colour",Vinho,purple
394,2023,1112.2080,323590.0,hL,"Wine
unspecified colour",Vinho,purple
395,2017,1113.2020,137147140.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
396,2018,1113.2020,153195320.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
397,2019,1113.2020,172695430.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
398,2020,1113.2020,150562690.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
399,2021,1113.2020,161166320.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
400,2022,1113.2020,163637680.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
401,2023,1113.2020,178866700.0,hL,Beer (including de-alcoholized),Cerveja e malte,goldenrod
402,2017,1113.2030,445132.0,Ton,Barley malting,Cerveja e malte,goldenrod
403,2018,1113.2030,602473.0,Ton,Barley malting,Cerveja e malte,goldenrod
404,2019,1113.2030,595969.0,Ton,Barley malting,Cerveja e malte,goldenrod
405,2021,1113.2030,628724.0,Ton,Barley malting,Cerveja e malte,goldenrod
406,2022,1113.2030,753631.0,Ton,Barley malting,Cerveja e malte,goldenrod
407,2023,1113.2030,814582.0,Ton,Barley malting,Cerveja e malte,goldenrod
